model_identifier,model_name,feature_config,selected_threshold,val_f1_default,val_f1_selected,val_f1_delta,val_precision_selected,val_recall_selected,test_roc_auc,test_accuracy_default,test_accuracy_selected,test_precision_default,test_precision_selected,test_recall_default,test_recall_selected,test_f1_default,test_f1_selected,test_f1_delta,test_tp_default,test_fp_default,test_fn_default,test_tn_default,test_tp_selected,test_fp_selected,test_fn_selected,test_tn_selected
RF_core,Random Forest Core,core,0.3,0.3254,0.5244,0.199,0.4486,0.631,0.6981,0.7276,0.6594,0.5777,0.4372,0.2198,0.6133,0.3185,0.5105,0.192,1319,964,4681,13761,3680,4738,2320,9987
GB_core,Gradient Boosting Core,core,0.3,0.3389,0.5269,0.188,0.4476,0.6403,0.6983,0.7273,0.655,0.5707,0.433,0.2348,0.6197,0.3327,0.5098,0.177,1409,1060,4591,13665,3718,4869,2282,9856
GB_exte,Gradient Boosting Extended,extended,0.3,0.3401,0.5261,0.186,0.4462,0.6408,0.6983,0.7286,0.6566,0.5759,0.4351,0.2372,0.6233,0.336,0.5125,0.1765,1423,1048,4577,13677,3740,4856,2260,9869
