train_number,train_name,train_type,source_code,dest_code,running_days,total_route_distance_km,total_halts
52942,SBI-BTD - GANDHIGRAM PASSENGER,Pass,BTDF,GG,"SUN,MON,TUE,WED,THU,FRI,SAT",155,12
52943,Ahmedabad Botad Passenger,Pass,GG,BTD,"SUN,MON,TUE,WED,THU,FRI,SAT",155,20
52945,Ahmedabad Botad Passenger,Pass,GG,BTD,"SUN,MON,TUE,WED,THU,FRI,SAT",155,20
52946,Dhasa Veraval Passenger,Pass,DAS,VRL,"SUN,MON,TUE,WED,THU,FRI,SAT",190,17
52947,Wansjaliya Dhassa Passenger,Pass,JLR,DAS,"SUN,MON,TUE,WED,THU,FRI,SAT",105,11
52948,Dhasa Wansjaliya Passenger,Pass,DAS,JLR,"SUN,MON,TUE,WED,THU,FRI,SAT",105,11
52949,Veraval Delvada Passenger,Pass,VRL,DVA,"SUN,MON,TUE,WED,THU,FRI,SAT",94,12
52950,Delvada Veraval Passenger,Pass,DVA,VRL,"SUN,MON,TUE,WED,THU,FRI,SAT",94,12
52951,Delvada Junagadh Passenger,Pass,DVA,JND,"SUN,MON,TUE,WED,THU,FRI,SAT",158,19
52952,Junagadh Delvada Passenger,Pass,JND,DVA,"SUN,MON,TUE,WED,THU,FRI,SAT",158,19
52953,Kodinar Veraval Passenger,Pass,KODR,VRL,"SUN,MON,TUE,WED,THU,FRI,SAT",71,9
52954,Veraval Kodinar Passenger,Pass,VRL,KODR,"SUN,MON,TUE,WED,THU,FRI,SAT",71,9
52955,Khijadiya Junagarh Pass,Pass,KJV,JND,"SUN,MON,TUE,WED,THU,FRI,SAT",134,12
52956,JUNAGADH KHIJADIYA PASS,Pass,JND,KJV,"SUN,MON,TUE,WED,THU,FRI,SAT",134,12
52957,Ratlam Mhow Fast Passenger,Pass,RTM,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",147,23
52958,Mhow Ratlam Fast Passenger,Pass,MHOW,RTM,"SUN,MON,TUE,WED,THU,FRI,SAT",147,21
52959,Ratlam Mhow Fast Passenger,Pass,RTM,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",147,21
52960,Mhow Ratlam Fast Passenger,Pass,MHOW,RTM,"SUN,MON,TUE,WED,THU,FRI,SAT",147,21
52961,Ratlam Mhow Fast Passenger,Pass,RTM,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",147,21
52962,Mhow Ratlam Fast Passenger,Pass,MHOW,RTM,"SUN,MON,TUE,WED,THU,FRI,SAT",147,21
52963,Ratlam Mhow Fast Passenger,Pass,RTM,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",147,21
52964,Mhow Ratlam Fast Passenger,Pass,MHOW,RTM,"SUN,MON,TUE,WED,THU,FRI,SAT",147,21
52965,Ratlam Mhow Fast Passenger,Pass,RTM,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",147,21
52966,Mhow Ratlam Passenger,Pass,MHOW,RTM,"SUN,MON,TUE,WED,THU,FRI,SAT",147,21
52967,Indore Mhow Fast Passenger,Pass,INDM,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",29,7
52968,Mhow Indore Fast Passenger,Pass,MHOW,INDM,"SUN,MON,TUE,WED,THU,FRI,SAT",29,7
52969,Ujjain Fatehabad Passenger,Pass,UJN,FTD,"SUN,MON,TUE,WED,THU,FRI,SAT",23,4
52970,Fatehabad Chowk Ujjain Passenger,Pass,FTD,UJN,"SUN,MON,TUE,WED,THU,FRI,SAT",23,4
52971,Ujjain Mhow Passenger,Pass,UJN,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",91,15
52972,Mhow Ujjain Passenger,Pass,MHOW,UJN,"SUN,MON,TUE,WED,THU,FRI,SAT",91,14
52973,Ratlam Akola Passenger,Pass,RTM,AK,"SUN,MON,TUE,WED,THU,FRI,SAT",431,47
52975,Ratlam Akola Passenger,Pass,RTM,AK,"SUN,MON,TUE,WED,THU,FRI,SAT",431,47
52976,Akola Ratlam Fast Pass,Pass,AK,RTM,"SUN,MON,TUE,WED,THU,FRI,SAT",431,47
52977,Indore Mhow Fast Passenger,Pass,INDM,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",29,7
52978,Mhow-Indore Passenger,Pass,MHOW,INDB,"SUN,MON,TUE,WED,THU,FRI,SAT",29,9
52979,Indore Mhow Passenger,Pass,INDB,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",29,9
52980,MHOW - INDM Passenger,Pass,MHOW,INDB,"SUN,MON,TUE,WED,THU,FRI,SAT",29,9
52981,Indore Mhow Fast Passenger,Pass,INDB,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",29,9
52982,Mhow Indore MG Fast Passenger,Pass,MHOW,INDB,"SUN,MON,TUE,WED,THU,FRI,SAT",29,9
52983,Fatehabad Mhow Passenger,Pass,FTD,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",68,12
14202,Rai Bareli Jaunpur Express,Exp,RBL,JNU,"SUN,MON,TUE,WED,THU,FRI,SAT",203,32
15632-Slip,Guwahati Barmer Express Slip,Exp,GHY,BKN,"SUN,MON,TUE,WED,THU,FRI,SAT",2333,314
18508,AMRITSAR - VISAKHAPATNAM Hirakud Exp,Exp,ASR,VSKP,"SUN,MON,TUE,WED,THU,FRI,SAT",2574,353
25631,Bikaner Guwahati Express,Exp,BKN,GHY,"SUN,MON,TUE,WED,THU,FRI,SAT",2333,370
52984,Mhow Fatehabad Fast Passenger,Pass,MHOW,FTD,"SUN,MON,TUE,WED,THU,FRI,SAT",68,12
52985,Indore Mg Mhow Passenger,Pass,INDB,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",29,9
52986,Mhow Indore MG Pass,Pass,MHOW,INDB,"SUN,MON,TUE,WED,THU,FRI,SAT",29,9
52987,Mhow Akola Fast Passenger,Pass,MHOW,AK,"SUN,MON,TUE,WED,THU,FRI,SAT",292,27
52988,Akola Mhow Fast Passenger,Pass,AK,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",292,27
52989,Ujjain Mhow Passenger,Pass,UJN,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",91,14
52990,Mhow Ujjain Passenger,Pass,MHOW,UJN,"SUN,MON,TUE,WED,THU,FRI,SAT",91,17
52991,Ujjain Khandwa Passenger,Pass,UJN,KNW,"SUN,MON,TUE,WED,THU,FRI,SAT",204,29
52992,Khandwa Ujjain Passenger Express,Pass,KNW,UJN,"SUN,MON,TUE,WED,THU,FRI,SAT",204,29
52993,Mhow Akola Passenger,Pass,MHOW,AK,"SUN,MON,TUE,WED,THU,FRI,SAT",292,27
52994,Akola Mhow Passenger,Pass,AK,MHOW,"SUN,MON,TUE,WED,THU,FRI,SAT",292,27
53001,Howrah Azimganj Passenger,Pass,HWH,AZ,"SUN,MON,TUE,WED,THU,FRI,SAT",217,64
53002,Azimganj Howrah Passenger,Pass,AZ,HWH,"SUN,MON,TUE,WED,THU,FRI,SAT",217,62
53003,Howrah Malda Town Fast Passenger,Pass,HWH,MLDT,"SUN,MON,TUE,WED,THU,FRI,SAT",339,82
53004,Malda Howrah Fast Passenger,Pass,MLDT,HWH,"SUN,MON,TUE,WED,THU,FRI,SAT",339,82
53006,Azimganj Katwa Passenger,Pass,AZ,KWAE,"SUN,MON,TUE,WED,THU,FRI,SAT",73,18
53007,Katwa Rampurhat Passenger,Pass,KWAE,RPH,"SUN,MON,TUE,WED,THU,FRI,SAT",134,30
53008,Rampurhat Katwa Passenger,Pass,RPH,KWAE,"SUN,MON,TUE,WED,THU,FRI,SAT",134,30
53010,Azimganj Katwa Passenger,Pass,AZ,KWAE,"SUN,MON,TUE,WED,THU,FRI,SAT",73,21
53012,Azimganj Katwa Passenger,Pass,AZ,KWAE,"SUN,MON,TUE,WED,THU,FRI,SAT",73,22
53014,Azimganj Katwa Passenger,Pass,AZ,KWAE,"SUN,MON,TUE,WED,THU,FRI,SAT",73,22
53016,Azimganj Katwa Passenger,Pass,AZ,KWAE,"SUN,MON,TUE,WED,THU,FRI,SAT",73,18
53017,Katwa Azimganj Passenger,Pass,KWAE,AZ,"SUN,MON,TUE,WED,THU,FRI,SAT",73,21
53018,Azimganj Katwa Passenger,Pass,AZ,KWAE,"SUN,MON,TUE,WED,THU,FRI,SAT",73,22
53022,Bhagalpur Azimganj Passenger,Pass,BGP,AZ,"SUN,MON,TUE,WED,THU,FRI,SAT",226,42
53035,Azimganj Barharwa Passenger,Pass,AZ,BHW,"SUN,MON,TUE,WED,THU,FRI,SAT",94,18
53043,Howrah-Rajgir Fast Passenger,Pass,HWH,RGD,"SUN,MON,TUE,WED,THU,FRI,SAT",651,119
53044,Rajgir-Howrah Fast Passenger,Pass,RGD,HWH,"SUN,MON,TUE,WED,THU,FRI,SAT",676,120
53045,Mayurakshi Fast Passenger,Pass,HWH,RPH,"SUN,MON,TUE,WED,THU,FRI,SAT",288,57
53046,Mayurakshi Fast Passenger,Pass,RPH,HWH,"SUN,MON,TUE,WED,THU,FRI,SAT",288,57
53047,Viswabharati Fast Passenger,Pass,HWH,RPH,"SUN,MON,TUE,WED,THU,FRI,SAT",219,52
53048,Viswabharati Fast Passenger,Pass,RPH,HWH,"SUN,MON,TUE,WED,THU,FRI,SAT",219,52
53050,Mokameh Howrah Passenger,Pass,MKA,HWH,"SUN,MON,TUE,WED,THU,FRI,SAT",455,81
53061,Barddhaman-Hatia Passenger,Pass,BWN,HTE,"SUN,MON,TUE,WED,THU,FRI,SAT",345,51
53062,Hatia Barddhaman Passenger,Pass,HTE,BWN,"SUN,MON,TUE,WED,THU,FRI,SAT",333,53
53064,Barharwa Barddhaman Passenger,Pass,BHW,BWN,"SUN,MON,TUE,WED,THU,FRI,SAT",212,31
53065,Barddhaman Rampurhat Passenger,Pass,BWN,RPH,"SUN,MON,TUE,WED,THU,FRI,SAT",112,19
53066,Rampurhat Barddhaman Passenger,Pass,RPH,BWN,"SUN,MON,TUE,WED,THU,FRI,SAT",112,19
53067,Barddhaman Rampurhat Passenger,Pass,BWN,RPH,"SUN,MON,TUE,WED,THU,FRI,SAT",112,19
53208,Buxar Islampur Passenger,Pass,BXR,IPR,"SUN,MON,TUE,WED,THU,FRI,SAT",181,26
53213,Buxar Mughal Sarai Passenger,Pass,BXR,MGS,"SUN,MON,TUE,WED,THU,FRI,SAT",94,16
53215,Buxar Mughal Sarai Passenger,Pass,BXR,MGS,"SUN,MON,TUE,WED,THU,FRI,SAT",94,16
53217,Buxar Mughal Sarai Passenger,Pass,BXR,MGS,"SUN,MON,TUE,WED,THU,FRI,SAT",94,16
18047,HOWRAH - VASCO DA GAMA Amravati Exp,Exp,HWH,VSG,"MON,TUE,THU,SAT",2147,341
51196,Ballarshah Wardha Mumbai Passenger,Pass,BPQ,CSTM,"SUN,MON,TUE,WED,THU,FRI,SAT",891,120
53068,Rampurhat Barddhaman Passenger,Pass,RPH,BWN,"SUN,MON,TUE,WED,THU,FRI,SAT",112,19
53070,Rampurhat Barddhaman Passenger,Pass,RPH,BWN,"SUN,MON,TUE,WED,THU,FRI,SAT",112,19
53073,Rampurhat Sahibganj Passenger,Pass,RPH,SBG,"SUN,MON,TUE,WED,THU,FRI,SAT",133,22
53074,Sahibganj Rampurhat Passenger,Pass,SBG,RPH,"SUN,MON,TUE,WED,THU,FRI,SAT",133,22
53132,Muzaffarpur Sealdah Passenger,Pass,MFP,SDAH,"SUN,MON,TUE,WED,THU,FRI,SAT",568,102
53135,Sealdah Rampurhat Passenger,Pass,SDAH,RPH,"SUN,MON,TUE,WED,THU,FRI,SAT",227,54
53136,Rampurhat Sealdah Passenger,Pass,RPH,SDAH,"SUN,MON,TUE,WED,THU,FRI,SAT",227,54
53137,Rampurhat- Barharwa Passenger,Pass,RPH,BHW,"SUN,MON,TUE,WED,THU,FRI,SAT",79,13
53139,KolkataChitpur-Chittaranjan Passenger,Pass,KOAA,CRJ,"SUN,MON,TUE,WED,THU,FRI,SAT",241,53
53140,Chittranjan-KolkataChitpur Passenger,Pass,CRJ,KOAA,"SUN,MON,TUE,WED,THU,FRI,SAT",241,53
53152,Lalgola Ranaghat Passenger,Pass,LGL,RHA,"SUN,MON,TUE,WED,THU,FRI,SAT",154,30
53153,Ranaghat Lalgola Passenger,Pass,RHA,LGL,"SUN,MON,TUE,WED,THU,FRI,SAT",154,30
53154,Lalgola Ranaghat Passenger,Pass,LGL,RHA,"SUN,MON,TUE,WED,THU,FRI,SAT",154,30
53155,Ranaghat Lalgola Passenger,Pass,RHA,LGL,"SUN,MON,TUE,WED,THU,FRI,SAT",154,30
53156,LGL Ranaghat Passenger,Pass,LGL,RHA,"SUN,MON,TUE,WED,THU,FRI,SAT",154,30
53172,Lalgola Sealdah Passenger,Pass,LGL,SDAH,"SUN,MON,TUE,WED,THU,FRI,SAT",227,54
