station_code,station_name,state,railway_zone,address,latitude,longitude,is_valid_coordinate,is_test_dummy_record,metro_cluster
KHI,KURHANI,UNKNOWN,UNKNOWN,,25.979631,85.339288,True,False,OTHER
VNJ,TIRUPPUR VANJIPALAYAM,UNKNOWN,UNKNOWN,,11.117791,77.265802,True,False,OTHER
CBF,COIMBATORE NORTH,UNKNOWN,UNKNOWN,,11.019937,76.954304,True,False,OTHER
UMB,AMBALA CANT JN,UNKNOWN,UNKNOWN,,30.338918,76.826966,True,False,OTHER
SRO,SIRATHU,UNKNOWN,UNKNOWN,,25.650642,81.31786,True,False,OTHER
SJT,SHUJAATPUR,UNKNOWN,UNKNOWN,,25.605607,81.401934,True,False,OTHER
BDNP,BIDANPUR,UNKNOWN,UNKNOWN,,25.585017,81.442017,True,False,OTHER
MTPC,MOTIPURA CHAUKI,Rajasthan,WCR,"Motipura, Rajasthan",24.609338,77.0483,True,False,OTHER
HTZ,HATHIDAH JN,UNKNOWN,UNKNOWN,,25.367027,85.987826,True,False,OTHER
TSKG,TINSUKIA GOODS,UNKNOWN,UNKNOWN,,0.0,0.0,False,False,OTHER
DDNI,DUDHNOI,Assam,NFR,"Dudhnoi Railway Station, Assam",26.001459,90.76188,True,False,OTHER
RDE,RUNDHI,UNKNOWN,UNKNOWN,,28.067751,77.350991,True,False,OTHER
IJ,ITAUNJA,Uttar Pradesh,NER,"Itaunja, Uttar Pradesh",27.081067,80.891234,True,False,OTHER
RMX,Ramsar,Rajasthan,NWR,"Barmer, Rajasthan",25.722252,70.866078,True,False,Chennai
PBE,PILIBHIT JN,Uttar Pradesh,NER,"Pilibhit, Uttar Pradesh",28.614978,79.813946,True,False,OTHER
RMB,Rampura Beri,Rajasthan,NWR,"Rampura Bhal, Rajasthan",28.530132,75.64548,True,False,OTHER
MGS,MUGHAL SARAI JN,UNKNOWN,UNKNOWN,,25.278149,83.11925,True,False,OTHER
RSWT,Ramgarh Shekhawati,Rajasthan,NWR,"Ramgarh, Rajasthan",28.169397,74.993046,True,False,OTHER
BKNA,BAKAINA HALT,UNKNOWN,UNKNOWN,,29.0358,78.274731,True,False,OTHER
HBD,HOSHANGABAD,UNKNOWN,UNKNOWN,,22.75274,77.715594,True,False,OTHER
ANA,ASLANA,UNKNOWN,UNKNOWN,,23.860522,79.319493,True,False,OTHER
BNI,BUDNI,UNKNOWN,UNKNOWN,,22.787114,77.681283,True,False,OTHER
YY-IDHW,YY-IDHW,UNKNOWN,UNKNOWN,,0.0,0.0,False,True,OTHER
DMGN,DHAMALGAON,Assam,NFR,"A T Rd, Assam",27.325566,94.856569,True,False,OTHER
LKPL,LAKDIKAPUL,Andhra Pradesh,SCR,"Hyderabad, Andhra Pradesh",17.404048,78.463527,True,False,Hyderabad
BRUD,BARUD,Madhya Pradesh,WCR,"Khandwa, Madhya Pradesh",22.052142,76.814085,True,False,OTHER
DVL,DEVLALI,UNKNOWN,UNKNOWN,,19.897509,73.83729,True,False,OTHER
JRTR,Jurtara,UNKNOWN,UNKNOWN,,22.253005,79.761272,True,False,OTHER
REWA,REWA,Madhya Pradesh,WCR,"Rewa, Madhya Pradesh",24.537122,81.250615,True,False,OTHER
DOK,DHOLKA,Gujarat,WR,"Bagodara Dholka, Gujarat",22.731982,72.433842,True,False,OTHER
NDR,NANDESARI,UNKNOWN,UNKNOWN,,22.418332,73.095273,True,False,OTHER
MYG,MIYAGAM KARJAN,UNKNOWN,UNKNOWN,,22.050722,73.120353,True,False,OTHER
MBA,MAHOBA,Uttar Pradesh,NCR,"Junction Point - Khajuraho, Uttar Pradesh",25.306914,79.849079,True,False,OTHER
JGZ,Jamgaon,Madhya Pradesh,SECR,"Bamhani, Madhya Pradesh",22.418426,80.198945,True,False,OTHER
BHKH,BAGHOI KUSA,UNKNOWN,UNKNOWN,,24.839901,84.462433,True,False,OTHER
NOLI,NOLI,Uttar Pradesh,NR,"Ghaziabad, Uttar Pradesh",28.746571,77.310771,True,False,OTHER
SUJR,SUJRA,Uttar Pradesh,NR,"State Highway 57, Uttar Pradesh",29.012729,77.261341,True,False,OTHER
AMOD,Amod,Gujarat,WR,"Amod, Gujarat",21.990791,72.865465,True,False,OTHER
LKD,LAKODARA,UNKNOWN,UNKNOWN,,21.991872,73.098994,True,False,OTHER
VKL,Vankal,Gujarat,WR,"SH 166, Gujarat",21.439674,73.231366,True,False,OTHER
BY,BYCULLA,Maharashtra,CR,"Mumbai, Maharashtra",18.97695,72.833211,True,False,Mumbai
BNR,BHAGWANPUR,UNKNOWN,UNKNOWN,,25.858317,85.30109,True,False,OTHER
KTY,Kotturu,Tamil Nadu,SWR,"Kothur Rd, Tamil Nadu",14.826788,76.213541,True,False,OTHER
BLMR,Bhalukmara,Assam,NFR,"Bhalukmara, Assam",26.685532,94.143709,True,False,OTHER
ANJ,Anjangaon,Maharashtra,CR,"Anjangaon, Maharashtra",21.1632,77.318965,True,False,OTHER
DEB,Debagram,West Bengal,ER,"Debagram, West Bengal",23.685277,88.306807,True,False,OTHER
ELP,Achalpur,Maharashtra,CR,"Dist. Amravati, Maharashtra",21.277603,77.519263,True,False,OTHER
BTY,Bethuadahari,West Bengal,ER,"Bethuadahari, West Bengal",23.610275,88.384597,True,False,OTHER
WARUD,Warud,Maharashtra,CR,"Wardha, Maharashtra",20.746905,78.651419,True,False,OTHER
BVAC,BVAC,UNKNOWN,UNKNOWN,,0.0,0.0,False,False,OTHER
BVBC,BVBC,UNKNOWN,UNKNOWN,,0.0,0.0,False,False,OTHER
VLKN,Velankanni,Tamil Nadu,UNKNOWN,"Velankanni, Tamil Nadu",10.686877,79.846181,True,False,OTHER
PCU,PUTLACHERUVU,Andhra Pradesh,SCR,"Putlacheruvu, Andhra Pradesh",16.484823,81.112395,True,False,OTHER
BNPT,BENNIPATTI PIRAPUR,UNKNOWN,UNKNOWN,,25.892949,85.309048,True,False,OTHER
JM,JALAMB JN,UNKNOWN,UNKNOWN,,20.813007,76.573236,True,False,OTHER
GPJ,Gorapur,Andhra Pradesh,ECoR,"Jeypore Rd, Andhra Pradesh",18.346936,82.79406,True,False,OTHER
ABEO,Pattaravakkam,UNKNOWN,SR,,13.1145,80.166181,True,False,OTHER
SEG,SHEGAON,UNKNOWN,UNKNOWN,,20.801724,76.690331,True,False,OTHER
GDU,Gudru Halt,Madhya Pradesh,SECR,"Lamta, Madhya Pradesh",22.271895,80.11634,True,False,OTHER
BGNA,Balgona,West Bengal,ER,"Balgona, West Bengal",23.45805,87.950456,True,False,OTHER
KLNP,Kalinarayanpur,West Bengal,ER,"Ranaghat-Bagula Bypass, West Bengal",23.206506,88.573216,True,False,OTHER
NGZ,S K NAGJIHARI,UNKNOWN,UNKNOWN,,20.761641,76.755353,True,False,OTHER
PS,PARAS,UNKNOWN,UNKNOWN,,20.724519,76.815865,True,False,OTHER
BRDB,Barda,West Bengal,SER,"Sutahata, West Bengal",22.152958,88.08753,True,False,OTHER
GAO,GAIGAON,UNKNOWN,UNKNOWN,,20.720684,76.890093,True,False,OTHER
RRL,REWRAL,UNKNOWN,UNKNOWN,,21.261121,79.468096,True,False,OTHER
KHAT,KHAT,UNKNOWN,UNKNOWN,,21.242242,79.550792,True,False,OTHER
BRD,BHANDARA ROAD,UNKNOWN,UNKNOWN,,21.238512,79.647523,True,False,OTHER
KOKA,KOKA,UNKNOWN,UNKNOWN,,21.263021,79.712409,True,False,OTHER
DAO,DAGHORA,UNKNOWN,UNKNOWN,,21.857535,83.678086,True,False,OTHER
HGR,HEMAGIRI,UNKNOWN,UNKNOWN,,21.876504,83.742815,True,False,OTHER
NIR,Nainpur Junction,Madhya Pradesh,SECR,"Nainpur, Madhya Pradesh",22.425676,80.108853,True,False,OTHER
NCH,NAKACHARI,Assam,NFR,"Mariani, Assam",26.708133,94.393913,True,False,OTHER
APDJ,ALIPUR DUAR JN,West Bengal,NFR,"03564-255091, West Bengal",26.523279,89.534048,True,False,OTHER
BRE,BHARWARI,UNKNOWN,UNKNOWN,,25.559192,81.491867,True,False,OTHER
JTK,Jhitkia,West Bengal,NFR,"National Highway 34, West Bengal",25.626133,88.052972,True,False,OTHER
MNJ,MANOHARGANJ,UNKNOWN,UNKNOWN,,25.524992,81.559075,True,False,OTHER
SYWN,SAIYID SARAWAN,UNKNOWN,UNKNOWN,,25.494982,81.613788,True,False,OTHER
