feature_config,model_family,model_identifier,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
Core (Model A),Logistic Regression,LR_core,0.719,0.5472,0.145,0.2292,0.6823,0.7161,0.5375,0.1435,0.2265,0.6869,0.7195,0.5604,0.1447,0.23,0.682
Core (Model A),Decision Tree,DT_core,0.7308,0.571,0.2651,0.3621,0.7022,0.7279,0.566,0.2593,0.3557,0.7019,0.7271,0.5628,0.2577,0.3535,0.6902
Core (Model A),Random Forest,RF_core,0.7409,0.6315,0.2424,0.3503,0.7476,0.728,0.5776,0.2265,0.3254,0.7081,0.7276,0.5777,0.2198,0.3185,0.6981
Core (Model A),Gradient Boosting,GB_core,0.7362,0.6018,0.2495,0.3528,0.7217,0.7284,0.5745,0.2403,0.3389,0.7089,0.7273,0.5707,0.2348,0.3327,0.6983
Extended (Model B),Logistic Regression,LR_exte,0.7191,0.5478,0.1444,0.2286,0.6823,0.7162,0.5377,0.1438,0.227,0.6869,0.7195,0.5601,0.1452,0.2306,0.682
Extended (Model B),Decision Tree,DT_exte,0.7308,0.571,0.2651,0.3621,0.7021,0.7279,0.566,0.2593,0.3557,0.7022,0.7271,0.5628,0.2577,0.3535,0.6906
Extended (Model B),Random Forest,RF_exte,0.741,0.6344,0.2386,0.3468,0.7455,0.7277,0.5789,0.2202,0.319,0.7083,0.7276,0.5789,0.217,0.3157,0.6978
Extended (Model B),Gradient Boosting,GB_exte,0.7363,0.6025,0.2493,0.3527,0.721,0.7281,0.5726,0.2418,0.3401,0.7089,0.7286,0.5759,0.2372,0.336,0.6983
